"Date","State","Utility","Rate_Code","Service_Charge","Energy_Charge","Distribution_Charge","Fuel_Charge","Surcharges_Monthly","Surcharges_Per_kWh","Total_Per_kWh","Case","Notes"
"2026-03-01","IN","AES Indiana","Res - RS",17,0.125421,0,-0.005544,,0.026542,0.146419,"45911","TDR 0.004774/kWh; ECR 0.009476/kWh; GPR 0.001800/kWh; DSR 0.006158/kWh; CAR -0.000519/kWh; OSR 0.004121/kWh; RTO 0.000732/kWh"
"2026-04-01","IN","AES Indiana","Res - RS",17,0.125421,0,-0.005544,,0.026397,0.146274,"45911","TDR 0.004774/kWh; ECR 0.009331/kWh; GPR 0.001800/kWh; DSR 0.006158/kWh; CAR -0.000519/kWh; OSR 0.004121/kWh; RTO 0.000732/kWh"
"2026-05-01","IN","AES Indiana","Res - RS",17,0.125421,0,-0.005544,,0.026397,0.146274,"45911","TDR 0.004774/kWh; ECR 0.009331/kWh; GPR 0.001800/kWh; DSR 0.006158/kWh; CAR -0.000519/kWh; OSR 0.004121/kWh; RTO 0.000732/kWh"
"2026-06-01","IN","AES Indiana","Res - RS",17,0.125421,0,0.003983,,0.027237,0.156641,"45911","TDR 0.004774/kWh; ECR 0.009331/kWh; GPR 0.001800/kWh; DSR 0.006158/kWh; CAR -0.000702/kWh; OSR 0.005144/kWh; RTO 0.000732/kWh"
"2026-07-01","IN","AES Indiana","Res - RS",17,0.125421,0,0.003983,,0.027237,0.156641,"45911","TDR 0.004774/kWh; ECR 0.009331/kWh; GPR 0.001800/kWh; DSR 0.006158/kWh; CAR -0.000702/kWh; OSR 0.005144/kWh; RTO 0.000732/kWh"
"2026-08-01","IN","AES Indiana","Res - RS",17,0.15001,0,-0.000801,,0.008129,0.157338,"46258","TDSIC 0.000695/kWh; ECR 0.002113/kWh; GPR 0.001800/kWh; DSM 0.004851/kWh; CAP 0.001396/kWh; OSS 0.004864/kWh; RTO 0.000960/kWh; PRA -0.008550/kWh"
"2026-03-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.01418,1.25,0.00546,0.18426,"U-21488","Rate Book #10 eff Jan 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-04-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.01418,1.25,0.00546,0.18426,"U-21488","Rate Book #10 eff Jan 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-05-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.01418,1.25,0.00546,0.18426,"U-21488","Rate Book #10 eff Jan 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-06-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.008,1.25,0.00546,0.17808,"U-21488","Rate Book #10 eff Jan 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-07-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.008,1.25,0.00546,0.17808,"U-21488","Rate Book #10 eff Jul 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-08-01","MI","Alpena Power Company","Res",5.25,0.07926,0.08536,0.008,1.25,0.00546,0.17808,"U-21488","Rate Book #10 eff Jul 2026; LI surcharge 1.25/month; EWR surcharge 0.00546/kWh"
"2026-03-01","IL","Ameren Illinois","Res - DS1",12.27,0.06876,0.04173,0,0.8,0.038948,0.149438,"","TS 0.02629/kWh; EEA 0.0000176/kWh; EUA -0.000990/kWh; CEAC 0.00177/kWh; EE 0.006440/kWh; BEAC 0.80/month; REA 0.00458/kWh; ETAC 0.00084/kWh"
"2026-04-01","IL","Ameren Illinois","Res - DS1",12.27,0.06452,0.04173,0,-0.19,0.039,0.14525,"","TS 0.02629/kWh; EEA 0.0000700/kWh; EUA -0.000990/kWh; CEAC 0.00177/kWh; EE 0.006440/kWh; BEAC 0.80/month; UCB/POR -0.99/month; REA 0.00458/kWh; ETAC 0.00084/kWh"
"2026-05-01","IL","Ameren Illinois","Res - DS1",12.27,0.06452,0.04173,0,-0.19,0.039001,0.145251,"","TS 0.02629/kWh; EEA 0.0000708/kWh; EUA -0.000990/kWh; CEAC 0.00177/kWh; EE 0.006440/kWh; BEAC 0.80/month; UCB/POR -0.99/month; REA 0.00458/kWh; ETAC 0.00084/kWh"
"2026-06-01","IL","Ameren Illinois","Res - DS1",12.27,0.08009,0.07125,0,-0.19,0.041981,0.193321,"","TS 0.02765/kWh; EEA 0.0000711/kWh; EUA 0.000530/kWh; CEAC 0.00175/kWh; EE 0.006440/kWh; BEAC 0.80/month; UCB/POR -0.99/month; REA 0.0047/kWh; ETAC 0.00084/kWh"
"2026-07-01","IL","Ameren Illinois","Res - DS1",12.27,0.08009,0.07125,0,-0.19,0.041981,0.193321,"","TS 0.02765/kWh; EEA 0.0000711/kWh; EUA 0.000530/kWh; CEAC 0.00175/kWh; EE 0.006440/kWh; BEAC 0.80/month; UCB/POR -0.99/month; REA 0.0047/kWh; ETAC 0.00084/kWh"
"2026-08-01","IL","Ameren Illinois","Res - DS1",12.27,0.08009,0.07125,0,-0.19,0.041981,0.193321,"","TS 0.02765/kWh; EEA 0.0000711/kWh; EUA 0.000530/kWh; CEAC 0.00175/kWh; EE 0.006440/kWh; BEAC 0.80/month; UCB/POR -0.99/month; REA 0.0047/kWh; ETAC 0.00084/kWh"
"2026-04-01","MO","Ameren Missouri","Res",9,0.1062,0,0.0054,0.19,0.00656,0.11816,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-04-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1073,0,0.0054,0.19,0.00656,0.11926,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-04-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1045,0,0.0054,0.19,0.00656,0.11646,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-05-01","MO","Ameren Missouri","Res",9,0.1062,0,0.0054,0.19,0.00656,0.11816,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-05-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1073,0,0.0054,0.19,0.00656,0.11926,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-05-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1045,0,0.0054,0.19,0.00656,0.11646,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-06-01","MO","Ameren Missouri","Res",9,0.156,0,0.00894,0.19,0.00656,0.1715,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-06-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1581,0,0.00894,0.19,0.00656,0.1736,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-06-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1524,0,0.00894,0.19,0.00656,0.1679,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-07-01","MO","Ameren Missouri","Res",9,0.156,0,0.00894,0.19,0.00656,0.1715,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-07-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1581,0,0.00894,0.19,0.00656,0.1736,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-07-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1524,0,0.00894,0.19,0.00656,0.1679,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-08-01","MO","Ameren Missouri","Res",9,0.156,0,0.00894,0.19,0.00656,0.1715,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-08-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1581,0,0.00894,0.19,0.00656,0.1736,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-08-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1524,0,0.00894,0.19,0.00656,0.1679,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-09-01","MO","Ameren Missouri","Res",9,0.156,0,0.00894,0.19,0.00656,0.1715,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-09-01","MO","Ameren Missouri","Res - TOU-On_Peak",9,0.1581,0,0.00894,0.19,0.00656,0.1736,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-09-01","MO","Ameren Missouri","Res - TOU-Off_Peak",9,0.1524,0,0.00894,0.19,0.00656,0.1679,"ER-2024-0319","EEIC 0.00331; RESRAM 0.00207; SUR 0.00118"
"2026-04-01","IL","ComEd","Res - BES",19.58,0.0966,0.06062,0,1.17,-0.01964,0.13758,"","ECR 0.00010/kWh; REA 0.00502/kWh; ZEA 0.00195/kWh; DG 0.00062/kWh; EEPP 0.00369/kWh; ETAC 0.00084/kWh; CFRA (-0.03186)/kWh"
"2026-05-01","IL","ComEd","Res - BES",19.58,0.0966,0.06062,0,1.17,0.01222,0.16944,"","ECR 0.00010/kWh; REA 0.00502/kWh; ZEA 0.00195/kWh; DG 0.00062/kWh; EEPP 0.00369/kWh; ETAC 0.00084/kWh"
